,Animal,GENDER,Genotype (I.D.),PCA,Pain Score,Paw Height (mm),Paw Velocity (mm/s),Stimulus,TIME,TiME,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Zscore Height,Zscore Pain,Zscore Velocity,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
5,6.0,,C57,,1.0,6.53,931.32,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-0.9278950757878225,-0.6380280612848336,-0.7099942022769279,-0.2662069528248342,,0.17881784920141658
6,7.0,,C57,,0.0,5.76,442.89,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-1.84223070104218,-1.3423074869792395,-0.8319603979174134,-1.0204599858285308,,0.13658329306032044
7,8.0,,C57,,0.0,5.5,30.56,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-2.2044499782812963,-1.9368564204939178,-0.8731437886531617,-1.0204599858285308,,0.1669533458344715
8,9.0,,C57,,0.0,6.59,959.5,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-1.342486920205924,-0.5973946149034314,-0.7004903428763707,-1.0204599858285308,,0.13370905411385253
9,10.0,,C57,,0.0,5.35,134.8,cotton swab,,,,,,,,,,,,,,,,C57 male.csv,-2.132523196582629,-1.7865501589326198,-0.896903437154555,-1.0204599858285308,,0.15844755718890816
10,1.0,,C57,,0.0,7.17,1092.51,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,-1.1804630599361263,-0.4056041712132139,-0.6086197020043167,-1.0204599858285308,,0.1437174049939133
11,2.0,,C57,,1.0,10.04,886.99,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,-0.6446633813924211,-0.7019485963482676,-0.15401842734432578,-0.2662069528248342,,0.2634175842450078
12,3.0,,C57,,0.5,10.01,941.47,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,-0.8242608807146312,-0.6233925225775507,-0.15877035704460432,-0.6433334693266826,,0.20312842261722522
13,4.0,,C57,,0.0,7.59,593.57,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,-1.5518709910963824,-1.1250382286133875,-0.5420926862004156,-1.0204599858285308,,0.12982146979886636
14,5.0,,C57,,0.0,8.82,852.58,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,-1.2272044596379577,-0.7515652354534504,-0.3472635684889908,-1.0204599858285308,,0.14004440321609962
15,6.0,,C57,,1.0,11.41,588.51,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,-0.7649746443281756,-1.1323343690920922,0.06298636230173284,-0.2662069528248342,,0.22032723882085875
16,7.0,,C57,,0.0,11.71,1084.28,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,-0.7737972989528816,-0.41747121392857733,0.11050565930451947,-1.0204599858285308,,0.2176053529904634
17,8.0,,C57,,0.0,3.78,291.49,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,-2.1468409161454263,-1.5606149313420612,-1.1455877581358045,-1.0204599858285308,,0.16002855390350298
18,9.0,,C57,,0.0,8.1,850.59,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,-1.2944032267857568,-0.7544346661950754,-0.46130988129567857,-1.0204599858285308,,0.13592048837437712
19,10.0,,C57,,0.0,22.76,3513.53,dynamic brush,,,,,,,,,,,,,,,,C57 male.csv,2.2269743922124277,3.085325082097742,1.8607997655738233,-1.0204599858285308,,0.8005475710299369
20,1.0,,C57,,0.5,7.54,408.52,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,-1.486762826231974,-1.391866449084591,-0.5500125690342134,-0.6433334693266826,,0.13014683238998095
21,2.0,,C57,,1.0,10.22,683.34,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,-0.7954787588552721,-0.9955966217411912,-0.12550684914265361,-0.2662069528248342,,0.21116037358956113
22,3.0,,C57,,2.0,19.48,1723.51,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,1.3449815659329696,0.5042505011311754,1.3412554516766904,0.48804608017886253,,0.800859656365004
23,4.0,,C57,,2.0,13.66,1633.04,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,0.7407184973001251,0.3737995467619251,0.4193810898226318,0.48804608017886253,,0.7943892167103292
24,5.0,,C57,,1.0,9.43,1464.9,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,-0.22571906619734922,0.13135427796955507,-0.2506409979166583,-0.2662069528248342,,0.48691142615626226
25,6.0,,C57,,3.0,6.6,897.32,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,-0.06305089144060545,-0.6870535111417421,-0.6989063663096112,1.2422991131825591,,0.5794608265747926
26,7.0,,C57,,0.0,8.68,1081.9,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,-1.0516702649729306,-0.42090299541856074,-0.3694392404236246,-1.0204599858285308,,0.15796694617792376
27,8.0,,C57,,0.0,8.52,1550.22,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,-0.6817266428246722,0.25437931861047935,-0.39478286549177743,-1.0204599858285308,,0.24893580262203083
28,9.0,,C57,,1.0,8.45,1627.7,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,-0.18129340069095212,0.366099667284399,-0.4058707014590943,-0.2662069528248342,,0.5130393568847716
29,10.0,,C57,,2.0,6.4,2239.27,light pinprick,,,,,,,,,,,,,,,,C57 male.csv,0.5773503996531603,1.2479377369605609,-0.7305858976448021,0.48804608017886253,,0.7788153614137724
30,1.0,,C57,,2.0,21.34,1515.79,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,1.3438092395385004,0.2047338410053805,1.6358750930939667,0.48804608017886253,,0.8008839952076783
31,2.0,,C57,,1.33,21.75,1687.84,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,1.2254671136998685,0.4528170365312951,1.7008181323311085,-0.017303451933614225,,0.8030477740005412
32,3.0,,C57,,1.5,28.79,1775.87,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,2.0141656356728252,0.5797496939108142,2.815937635329832,0.11091956367701417,,0.7952870185521617
33,4.0,,C57,,2.33,18.45,1340.16,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,1.082691892131105,-0.04851144600546732,1.1781058653004566,0.7369495810700825,,0.8042851093060787
34,5.0,,C57,,2.67,28.85,2242.98,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,2.921685008873485,1.253287278694947,2.8254414947303896,0.9933956122913392,,0.8040823274633521
35,6.0,,C57,,2.0,20.65,1588.85,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,1.3409620582663626,0.31008088119790195,1.5265807099875575,0.48804608017886253,,0.8009429476645843
36,7.0,,C57,,2.67,22.15,1693.6,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,1.860499561144744,0.4611225245070537,1.7641771950014902,0.9933956122913392,,0.7936472334888258
37,8.0,,C57,,2.33,23.19,2358.2,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,2.3501879187540817,1.4194258767100347,1.928910757944484,0.7369495810700825,,0.8043006390802192
38,9.0,,C57,,1.67,13.44,1384.8,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,0.3706140140069037,0.015856085806661712,0.38453360535392156,0.23914257928764254,,0.7428668344789531
39,10.0,,C57,,2.67,28.94,2472.2,heavy pinprick,,,,,,,,,,,,,,,,C57 male.csv,3.118081435302913,1.5838053262302572,2.8396972838312258,0.9933956122913392,,0.7889360426750258
0,1.0,,C57,,2.0,6.55,1738.25,cotton swab,,,,,,,,,,,,,,,,C57 female.csv,0.17964785691438154,0.525504475569141,-0.7068262491434089,0.48804608017886253,1.0,0.6873612752485608
