,Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
65,C57_injured,"Cage1, Animal 2",0.6 vfh,729.07,8.5,1.0,Week 2,CCI injured paw.csv,-0.7085801929414443,-0.4687728902896047,-0.6558948980416819,-0.10014396379512873,,0.15155184147389814
66,C57_injured,"Cage1, Animal 4",0.6 vfh,180.26,8.37,1.0,Week 2,CCI injured paw.csv,-1.1204109579216381,-1.1628629309200527,-0.6702797713854894,-0.10014396379512873,,0.08427455243643649
67,C57_injured,"Cage2, Animal 0",0.6 vfh,277.37,6.66,2.0,Week 2,CCI injured paw.csv,-0.6290145295921542,-1.040046138504421,-0.8594961822924949,0.8228418776346288,,0.18120890821789642
68,C57_injured,"Cage2, Animal 1",0.6 vfh,271.77,8.93,2.0,Week 2,CCI injured paw.csv,-0.48813294824003356,-1.0471285608865397,-0.6083141631352419,0.8228418776346288,,0.2581048646512196
69,C57_injured,"Cage3, Animal 0",0.6 vfh,744.2,6.45,2.0,Week 2,CCI injured paw.csv,-0.29917962632365475,-0.4496377026750593,-0.8827332853863378,0.8228418776346288,,0.41932269031619135
70,C57_injured,"Cage3, Animal 2",0.6 vfh,529.4,9.11,0.0,Week 2,CCI injured paw.csv,-1.3456504274432521,-0.7212991897606085,-0.5883966461976624,-1.0231298052248863,,0.07424165792059097
71,C57_injured,"Cage3, Animal 3",0.6 vfh,337.68,6.34,0.0,Week 2,CCI injured paw.csv,-1.6635548131683844,-0.9637709788855687,-0.8949051012926365,-1.0231298052248863,,0.07137091410531334
72,C57_injured,"Cage3, Animal 4",0.6 vfh,658.92,5.33,2.0,Week 2,CCI injured paw.csv,-0.43342538766425326,-0.5574928778084655,-1.0066645018868328,0.8228418776346288,,0.29792254086857156
73,C57_injured,"Cage1, Animal 1",1.4 vfh,581.54,5.42,1.0,Week 2,CCI injured paw.csv,-1.013794372847814,-0.6553567785099542,-0.996705743418043,-0.10014396379512873,,0.09313448716071483
74,C57_injured,"Cage1, Animal 2",1.4 vfh,204.93,8.56,1.0,Week 2,CCI injured paw.csv,-1.0901352068874108,-1.1316623308902551,-0.6492557257291554,-0.10014396379512873,,0.08643366871320587
75,C57_injured,"Cage1, Animal 4",1.4 vfh,194.5,8.38,0.0,Week 2,CCI injured paw.csv,-1.638524052603953,-1.1448533425769511,-0.6691732426667348,-1.0231298052248863,,0.0711847041688649
76,C57_injured,"Cage2, Animal 0",1.4 vfh,421.03,17.44,3.0,Week 2,CCI injured paw.csv,0.6944235801486711,-0.8583567100374286,0.3333417765247688,1.7458277190643865,,0.9358377802671434
77,C57_injured,"Cage2, Animal 1",1.4 vfh,1494.59,16.57,3.0,Week 2,CCI injured paw.csv,1.428214186008635,0.4993942493460076,0.23707377799313428,1.7458277190643865,,0.919070465941494
78,C57_injured,"Cage2, Animal 3",1.4 vfh,256.25,13.62,3.0,Week 2,CCI injured paw.csv,0.32925745038564563,-1.0667569886312684,-0.08935219403941945,1.7458277190643865,,0.8904009394538162
79,C57_injured,"Cage3, Animal 0",1.4 vfh,939.37,10.6,2.0,Week 2,CCI injured paw.csv,0.10941071094333858,-0.20280263547540095,-0.42352386710325396,0.8228418776346288,,0.7982434069819975
80,C57_injured,"Cage3, Animal 2",1.4 vfh,497.0,4.89,2.0,Week 2,CCI injured paw.csv,-0.5805868437391172,-0.7622760621142947,-1.0553517655120273,0.8228418776346288,,0.20376703461778595
81,C57_injured,"Cage3, Animal 3",1.4 vfh,271.5889,12.68,3.0,Week 2,CCI injured paw.csv,0.2804920847645958,-1.0473576013675043,-0.19336589360233478,1.7458277190643865,,0.876202608990231
82,C57_injured,"Cage3, Animal 4",1.4 vfh,367.38,8.67,3.0,Week 2,CCI injured paw.csv,0.09478115389855418,-0.9262088458946898,-0.6370839098228568,1.7458277190643865,,0.789120301365408
83,C57_injured,"Cage1, Animal 2",0.07 vfh,711.11,6.91,2.0,Week 3,CCI injured paw.csv,-0.29412682783679206,-0.4914872306436851,-0.8318329643236345,0.8228418776346288,,0.42436457569198294
84,C57_injured,"Cage1, Animal 4",0.07 vfh,506.07,7.58,2.0,Week 3,CCI injured paw.csv,-0.40209073034773407,-0.7508050672918276,-0.7576955401670884,0.8228418776346288,,0.3233567256645611
85,C57_injured,"Cage2, Animal 0",0.07 vfh,579.86,7.44,2.0,Week 3,CCI injured paw.csv,-0.35677738790760344,-0.6574815052245898,-0.7731869422296502,0.8228418776346288,,0.3650708885765454
86,C57_injured,"Cage2, Animal 1",0.07 vfh,468.5,7.81,2.0,Week 3,CCI injured paw.csv,-0.4150235101016622,-0.7983205331661483,-0.7322453796357369,0.8228418776346288,,0.3126307190418317
87,C57_injured,"Cage2, Animal 3",0.07 vfh,129.9107,7.64,0.0,Week 3,CCI injured paw.csv,-1.7332834560781922,-1.2265406111421961,-0.751056367854562,-1.0231298052248863,,0.07232825020060736
88,C57_injured,"Cage3, Animal 0",0.07 vfh,343.54,5.87,0.0,Week 3,CCI injured paw.csv,-1.68926794123155,-0.9563597297499947,-0.9469119510740942,-1.0231298052248863,,0.0716461695170167
89,C57_injured,"Cage3, Animal 2",0.07 vfh,891.82,7.09,2.0,Week 3,CCI injured paw.csv,-0.14975736429344252,-0.2629399898092829,-0.8119154473860549,0.8228418776346288,,0.5765204867693715
90,C57_injured,"Cage3, Animal 3",0.07 vfh,577.99,3.93,2.0,Week 3,CCI injured paw.csv,-0.5823580530802049,-0.6598465284129044,-1.1615785225124513,0.8228418776346288,,0.20287499741601472
91,C57_injured,"Cage3, Animal 4",0.07 vfh,505.2,4.91,1.0,Week 3,CCI injured paw.csv,-1.1025022431015925,-0.7519053721976209,-1.0531387080745183,-0.10014396379512873,,0.08552123810223122
92,C57_injured,"Cage1, Animal 1",0.6 vfh,1120.96,17.2,3.0,Week 3,CCI injured paw.csv,1.1937350431581204,0.026857557447619876,0.3067850872746626,1.7458277190643865,,0.9283088312731306
93,C57_injured,"Cage1, Animal 2",0.6 vfh,1559.8,9.27,1.0,Week 3,CCI injured paw.csv,-0.04857959212150791,0.5818665285492137,-0.5706921866975917,-0.10014396379512873,,0.676821135261859
